epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5374,1.09148,2.24903,1.35975,0.38138,0.59403,0.41797,0.26429,1.09916,2.14647,1.57158,0.000413793,0.000413793,0.000413793
2,37.378,1.10679,1.68756,1.33488,0.49369,0.58913,0.56259,0.39229,1.03187,1.42952,1.44316,0.000820183,0.000820183,0.000820183
3,55.1962,1.10144,1.5001,1.33516,0.55413,0.49897,0.49867,0.33524,1.10176,1.62382,1.5275,0.00121626,0.00121626,0.00121626
4,73.3791,1.13587,1.40072,1.34304,0.59972,0.58473,0.62526,0.42252,1.0618,1.26735,1.48134,0.00120359,0.00120359,0.00120359
5,91.4639,1.07913,1.27174,1.3134,0.5341,0.62503,0.60154,0.39751,1.03048,1.36553,1.44852,0.00118812,0.00118812,0.00118812
6,108.92,1.06441,1.22388,1.30079,0.70819,0.51813,0.63103,0.43404,1.0723,1.22015,1.49826,0.00117266,0.00117266,0.00117266
7,126.851,1.04642,1.17631,1.28517,0.63279,0.64807,0.69187,0.49867,0.98911,1.12111,1.39945,0.00115719,0.00115719,0.00115719
8,144.285,1.03085,1.12526,1.26787,0.62853,0.66343,0.70503,0.50416,0.98312,1.00471,1.3816,0.00114172,0.00114172,0.00114172
9,161.955,1.04023,1.139,1.28258,0.67863,0.66682,0.72026,0.50622,0.99825,1.00313,1.39278,0.00112625,0.00112625,0.00112625
10,179.399,1.03505,1.0962,1.27594,0.64073,0.6986,0.71288,0.51709,0.94579,0.97597,1.34199,0.00111078,0.00111078,0.00111078
11,196.399,0.99894,1.07594,1.25194,0.63193,0.6729,0.70194,0.51614,0.95852,1.02841,1.35881,0.00109531,0.00109531,0.00109531
12,213.762,0.98983,1.03333,1.25331,0.69562,0.68701,0.74603,0.54204,0.94898,0.92783,1.35671,0.00107984,0.00107984,0.00107984
13,231.007,1.00757,1.05946,1.25855,0.71807,0.67708,0.72601,0.52832,0.94744,0.93474,1.3363,0.00106437,0.00106437,0.00106437
14,248.502,0.97083,0.99735,1.23844,0.72391,0.6791,0.76499,0.55431,0.95354,0.92475,1.33858,0.00104891,0.00104891,0.00104891
15,265.87,0.97908,0.9926,1.24392,0.7449,0.67136,0.77941,0.56418,0.93813,0.94951,1.3401,0.00103344,0.00103344,0.00103344
16,283.671,0.98516,0.98468,1.23631,0.7343,0.70277,0.77269,0.57106,0.93563,0.83443,1.34378,0.00101797,0.00101797,0.00101797
17,300.739,0.98019,0.96176,1.23186,0.7519,0.72199,0.80587,0.59525,0.90689,0.81093,1.30011,0.0010025,0.0010025,0.0010025
18,318.177,0.95915,0.94014,1.21942,0.68346,0.75018,0.77882,0.57505,0.90619,0.8418,1.29562,0.000987031,0.000987031,0.000987031
19,335.665,0.97092,0.93614,1.22394,0.76883,0.71797,0.81983,0.61088,0.90236,0.80855,1.29448,0.000971562,0.000971562,0.000971562
20,353.644,0.94768,0.91529,1.21495,0.75069,0.69247,0.81047,0.5923,0.90634,0.86733,1.30157,0.000956094,0.000956094,0.000956094
21,370.87,0.93869,0.91624,1.21724,0.7541,0.76372,0.81475,0.60993,0.90714,0.861,1.31042,0.000940625,0.000940625,0.000940625
22,387.695,0.94068,0.91018,1.21997,0.73672,0.76133,0.81937,0.60006,0.9278,0.79076,1.31301,0.000925156,0.000925156,0.000925156
23,405.318,0.93992,0.88941,1.21138,0.74513,0.76053,0.81438,0.60153,0.912,0.7834,1.29603,0.000909688,0.000909688,0.000909688
24,422.667,0.93129,0.87757,1.20463,0.72492,0.72375,0.80436,0.60094,0.897,0.83662,1.29029,0.000894219,0.000894219,0.000894219
25,440.24,0.93244,0.86354,1.21005,0.78715,0.75641,0.84061,0.62537,0.88943,0.7665,1.28171,0.00087875,0.00087875,0.00087875
26,457.555,0.91859,0.85656,1.2058,0.75894,0.76049,0.82932,0.61954,0.89275,0.76277,1.28737,0.000863281,0.000863281,0.000863281
27,475.117,0.91464,0.85124,1.19356,0.80608,0.72526,0.82673,0.62038,0.87877,0.76309,1.27397,0.000847813,0.000847813,0.000847813
28,492.921,0.93988,0.85441,1.20453,0.79835,0.75021,0.83493,0.62762,0.88861,0.73884,1.28337,0.000832344,0.000832344,0.000832344
29,510.256,0.90983,0.84488,1.19852,0.77885,0.81167,0.8595,0.64174,0.8831,0.73313,1.27231,0.000816875,0.000816875,0.000816875
30,527.596,0.92175,0.83229,1.20092,0.74525,0.8165,0.84832,0.62929,0.89325,0.75187,1.28926,0.000801406,0.000801406,0.000801406
31,544.636,0.91391,0.82303,1.18789,0.79704,0.71415,0.81706,0.61386,0.88038,0.78022,1.27245,0.000785938,0.000785938,0.000785938
32,561.956,0.90972,0.81997,1.19478,0.73613,0.78426,0.83024,0.62445,0.88951,0.79014,1.28452,0.000770469,0.000770469,0.000770469
33,580.096,0.91504,0.81848,1.18936,0.79833,0.79022,0.85414,0.6341,0.88189,0.72344,1.27881,0.000755,0.000755,0.000755
34,597.618,0.89648,0.80002,1.1812,0.81046,0.77993,0.85103,0.63582,0.87427,0.74359,1.27904,0.000739531,0.000739531,0.000739531
35,615.39,0.89525,0.80014,1.17659,0.78475,0.75471,0.83929,0.62523,0.86547,0.75884,1.26243,0.000724062,0.000724062,0.000724062
36,632.679,0.88746,0.77932,1.17546,0.80829,0.80173,0.86783,0.64691,0.87179,0.68408,1.27337,0.000708594,0.000708594,0.000708594
37,650.359,0.88833,0.78528,1.17528,0.82694,0.79336,0.87141,0.65492,0.86495,0.67255,1.2613,0.000693125,0.000693125,0.000693125
38,668.001,0.87847,0.75883,1.18446,0.84504,0.78462,0.86368,0.65457,0.85593,0.66554,1.25034,0.000677656,0.000677656,0.000677656
39,685.792,0.86984,0.75655,1.17139,0.74988,0.81044,0.85212,0.64331,0.86454,0.72114,1.26118,0.000662188,0.000662188,0.000662188
40,703.138,0.88011,0.76276,1.16459,0.81813,0.77795,0.8527,0.6438,0.87727,0.72017,1.27315,0.000646719,0.000646719,0.000646719
41,720.757,0.86487,0.75808,1.16435,0.80657,0.79254,0.8633,0.64682,0.87671,0.72053,1.27307,0.00063125,0.00063125,0.00063125
42,738.619,0.87869,0.75888,1.1737,0.79048,0.81997,0.86332,0.64991,0.88071,0.69427,1.26844,0.000615781,0.000615781,0.000615781
43,756.966,0.87929,0.74138,1.17239,0.76952,0.80701,0.85479,0.64352,0.86356,0.67522,1.26053,0.000600313,0.000600313,0.000600313
44,774.726,0.87421,0.71808,1.16531,0.80187,0.81657,0.86726,0.65929,0.8638,0.66668,1.26062,0.000584844,0.000584844,0.000584844
45,792.265,0.87628,0.72834,1.16531,0.82501,0.80686,0.86615,0.65044,0.86652,0.67037,1.25897,0.000569375,0.000569375,0.000569375
46,810.433,0.84299,0.71787,1.1524,0.7921,0.82684,0.87274,0.65722,0.87045,0.65811,1.26446,0.000553906,0.000553906,0.000553906
47,827.923,0.85843,0.72691,1.15772,0.8269,0.82151,0.88468,0.66618,0.85742,0.63625,1.25383,0.000538438,0.000538438,0.000538438
48,845.18,0.84667,0.70422,1.15847,0.81028,0.80246,0.86976,0.65682,0.86405,0.67602,1.25606,0.000522969,0.000522969,0.000522969
49,862.952,0.84447,0.70345,1.14769,0.82873,0.81708,0.8791,0.66355,0.86954,0.64547,1.26707,0.0005075,0.0005075,0.0005075
50,880.058,0.84947,0.70188,1.1442,0.85293,0.75988,0.86334,0.65623,0.86544,0.68904,1.26183,0.000492031,0.000492031,0.000492031
51,897.612,0.83751,0.70191,1.14924,0.82213,0.81578,0.87302,0.66234,0.86552,0.65846,1.25886,0.000476562,0.000476562,0.000476562
52,915.204,0.84088,0.70364,1.15701,0.8453,0.80202,0.87515,0.66597,0.87007,0.66537,1.27218,0.000461094,0.000461094,0.000461094
53,932.979,0.8235,0.67441,1.14254,0.78125,0.84232,0.86373,0.65418,0.85308,0.66835,1.25691,0.000445625,0.000445625,0.000445625
54,950.76,0.83209,0.68824,1.14493,0.80866,0.85914,0.88109,0.66405,0.86653,0.64138,1.25943,0.000430156,0.000430156,0.000430156
55,968.376,0.81711,0.68394,1.13793,0.81418,0.8075,0.86856,0.66206,0.85007,0.65039,1.25032,0.000414688,0.000414688,0.000414688
56,986.15,0.82234,0.65646,1.14451,0.77655,0.83908,0.86019,0.65475,0.84926,0.6508,1.24225,0.000399219,0.000399219,0.000399219
57,1003.42,0.81699,0.65819,1.13905,0.81256,0.81906,0.87422,0.66763,0.85005,0.6574,1.25266,0.00038375,0.00038375,0.00038375
58,1021.06,0.8152,0.66246,1.13211,0.80794,0.8157,0.8693,0.66234,0.86065,0.66212,1.25881,0.000368281,0.000368281,0.000368281
59,1038.89,0.80596,0.66353,1.1357,0.81371,0.82031,0.87257,0.66206,0.85827,0.65947,1.25525,0.000352812,0.000352812,0.000352812
60,1056.47,0.81231,0.6496,1.135,0.85482,0.78993,0.88151,0.67055,0.85649,0.64034,1.25555,0.000337344,0.000337344,0.000337344
61,1073.76,0.81254,0.64536,1.12899,0.82832,0.81673,0.87623,0.67052,0.85678,0.64379,1.25331,0.000321875,0.000321875,0.000321875
62,1090.55,0.81344,0.64383,1.1309,0.82296,0.82292,0.87991,0.66897,0.85328,0.63913,1.25228,0.000306406,0.000306406,0.000306406
63,1107.96,0.81038,0.6438,1.1367,0.82651,0.83839,0.88568,0.67909,0.85679,0.62631,1.25688,0.000290937,0.000290937,0.000290937
64,1125.29,0.79966,0.63952,1.12578,0.83737,0.81789,0.88442,0.67606,0.85914,0.63155,1.25444,0.000275469,0.000275469,0.000275469
65,1143.13,0.79783,0.63839,1.12352,0.8478,0.81273,0.87944,0.67024,0.86771,0.63293,1.2609,0.00026,0.00026,0.00026
66,1160.66,0.79856,0.6375,1.12424,0.8253,0.82327,0.88331,0.67635,0.85804,0.64529,1.2548,0.000244531,0.000244531,0.000244531
67,1178.29,0.78769,0.61346,1.11696,0.84554,0.80219,0.88336,0.67337,0.85502,0.63373,1.25202,0.000229063,0.000229063,0.000229063
68,1195.77,0.7978,0.62643,1.12598,0.85232,0.81357,0.88616,0.67861,0.85554,0.62368,1.25581,0.000213594,0.000213594,0.000213594
