epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4868,1.25234,1.97424,1.55118,0.35458,0.07462,0.06067,0.0313,1.73387,9.08421,2.4234,0.000413793,0.000413793,0.000413793
2,140.43,1.33183,1.73613,1.55617,0.24953,0.11662,0.10967,0.04413,2.55789,12.4782,3.20482,0.000820183,0.000820183,0.000820183
3,208.913,1.27611,1.62716,1.51167,0.31285,0.36604,0.25498,0.16455,1.2593,4.70662,1.77302,0.00121626,0.00121626,0.00121626
4,276.82,1.26651,1.55234,1.48284,0.60997,0.38099,0.39936,0.24776,1.26838,1.78882,1.69204,0.00120359,0.00120359,0.00120359
5,344.697,1.19013,1.42896,1.42541,0.66911,0.39655,0.44274,0.29415,1.14607,2.42654,1.58842,0.00118812,0.00118812,0.00118812
6,412.354,1.15051,1.37342,1.39325,0.37764,0.57769,0.47716,0.31001,1.06403,1.57932,1.4819,0.00117266,0.00117266,0.00117266
7,479.991,1.13066,1.33304,1.37435,0.51768,0.64402,0.56361,0.39475,1.06014,1.21131,1.50314,0.00115719,0.00115719,0.00115719
8,547.75,1.10683,1.26533,1.35614,0.48992,0.62985,0.53943,0.37218,1.0352,1.25926,1.46653,0.00114172,0.00114172,0.00114172
9,614.926,1.11505,1.2855,1.3717,0.43015,0.68796,0.57191,0.40013,1.02711,1.11321,1.44984,0.00112625,0.00112625,0.00112625
10,682.574,1.10299,1.22712,1.35771,0.48741,0.65543,0.58854,0.41375,1.01696,1.12967,1.44232,0.00111078,0.00111078,0.00111078
11,750.373,1.07258,1.19343,1.33032,0.50073,0.6275,0.59972,0.43491,0.97672,1.10447,1.41009,0.00109531,0.00109531,0.00109531
12,818.095,1.04626,1.16323,1.32274,0.57868,0.62573,0.63365,0.45986,0.96719,1.02985,1.38716,0.00107984,0.00107984,0.00107984
13,885.662,1.05144,1.17039,1.31404,0.56581,0.6725,0.6343,0.46053,0.97262,0.97905,1.38934,0.00106437,0.00106437,0.00106437
14,953.114,1.02385,1.11954,1.30221,0.61503,0.68695,0.6808,0.49404,0.95273,0.95249,1.36951,0.00104891,0.00104891,0.00104891
15,1020.7,1.0296,1.10905,1.30731,0.60044,0.65336,0.65211,0.47112,0.98163,0.97456,1.39306,0.00103344,0.00103344,0.00103344
16,1087.61,1.03175,1.10359,1.29259,0.57059,0.67898,0.64053,0.46427,0.93643,1.10309,1.35752,0.00101797,0.00101797,0.00101797
17,1154.6,1.01636,1.07147,1.28312,0.60561,0.68256,0.66114,0.48859,0.94298,0.94787,1.35422,0.0010025,0.0010025,0.0010025
18,1221.68,1.00946,1.05749,1.27805,0.60219,0.661,0.66953,0.49282,0.94157,0.97179,1.35757,0.000987031,0.000987031,0.000987031
19,1289.05,1.01733,1.05542,1.27643,0.55351,0.63941,0.57473,0.42075,0.93465,1.20872,1.3507,0.000971562,0.000971562,0.000971562
20,1356.36,0.98954,1.03497,1.26606,0.68533,0.59571,0.68984,0.51,0.93387,0.93765,1.3387,0.000956094,0.000956094,0.000956094
21,1424,0.98849,1.02794,1.27193,0.5766,0.65874,0.61639,0.4525,0.93595,1.14576,1.34807,0.000940625,0.000940625,0.000940625
22,1490.88,0.98219,1.01837,1.26522,0.63992,0.65138,0.70124,0.51139,0.96366,0.89757,1.36864,0.000925156,0.000925156,0.000925156
23,1558.36,0.97594,0.99644,1.259,0.65102,0.67561,0.69567,0.51219,0.92304,0.92584,1.33481,0.000909688,0.000909688,0.000909688
24,1625.65,0.97252,0.98282,1.25547,0.66836,0.70758,0.73649,0.54754,0.91105,0.84647,1.32067,0.000894219,0.000894219,0.000894219
25,1693.03,0.98194,0.98455,1.26442,0.6599,0.68944,0.72428,0.5389,0.90368,0.88745,1.31855,0.00087875,0.00087875,0.00087875
26,1759.9,0.9625,0.96477,1.2537,0.70954,0.66567,0.72803,0.54273,0.9041,0.8774,1.31928,0.000863281,0.000863281,0.000863281
27,1827.04,0.95278,0.95674,1.2408,0.69764,0.71115,0.75011,0.56017,0.89745,0.82854,1.31818,0.000847813,0.000847813,0.000847813
28,1894.74,0.98236,0.96282,1.25418,0.66872,0.74601,0.75705,0.56474,0.90583,0.8326,1.31999,0.000832344,0.000832344,0.000832344
29,1962.62,0.95775,0.94903,1.25218,0.70254,0.71208,0.76437,0.57814,0.88741,0.80538,1.30353,0.000816875,0.000816875,0.000816875
30,2030.24,0.96471,0.945,1.25129,0.72527,0.69467,0.74475,0.54774,0.91166,0.87704,1.31958,0.000801406,0.000801406,0.000801406
31,2097.42,0.95398,0.9309,1.23202,0.71254,0.69936,0.75428,0.55871,0.899,0.83052,1.31769,0.000785938,0.000785938,0.000785938
32,2164.66,0.95117,0.92023,1.24168,0.63372,0.71567,0.71784,0.53673,0.89777,0.89902,1.31489,0.000770469,0.000770469,0.000770469
